adjective;Frame_realisation;Frame_frequency
péroniste;SUJ:NP;1
sanglant;SUJ:NP;2
solennel;SUJ:NP;2
agrégé;SUJ:NP,P-OBJ:PP[de];1
statique;SUJ:NP;1
industrialisé;SUJ:NP;25
gourmand;SUJ:NP,P-OBJ:PP[de];1
diesel;SUJ:NP;1
possible;SUJ:NP,P-OBJ:PP[par];1
possible;SUJ:NP;36
possible;SUJ:VPinf[de];14
possible;SUJ:NP,P-OBJ:PP[entre];1
possible;SUJ:VPinf[de],P-OBJ:PP[à];1
énorme;SUJ:NP;20
énorme;SUJ:NP,P-OBJ:VPinf[pour];1
bovin;SUJ:NP;5
retraitée;SUJ:NP;1
marchand;SUJ:NP;11
agressif;SUJ:NP;5
secondaire;SUJ:NP;3
soutenu;SUJ:NP;3
languissant;SUJ:NP;2
sinistré;SUJ:NP;3
sinistré;SUJ:NP,P-OBJ:PP[après];1
bénéfique;SUJ:NP;3
intolérable;SUJ:NP;1
agréé;SUJ:NP;1
préférentiel;SUJ:NP;1
long;SUJ:NP,P-OBJ:VPinf[à];2
long;SUJ:NP;91
pangermanique;SUJ:NP;1
contrasté;SUJ:NP;1
perpétuel;SUJ:NP;1
soviétique;SUJ:NP;12
imminent;SUJ:NP;3
réservé;SUJ:NP;4
brésilien;SUJ:NP;5
méritoire;SUJ:NP;3
capable;SUJ:NP,P-OBJ:VPinf[de];18
capable;SUJ:NP;7
autarcique;SUJ:NP;1
demi;SUJ:NP;11
journalier;SUJ:NP;3
brusque;SUJ:NP;2
inscrit;SUJ:NP;1
inscrit;SUJ:NP,P-OBJ:PP[dans];2
rigide;SUJ:NP;1
conformiste;SUJ:NP;1
prometteur;SUJ:NP;4
progressif;SUJ:NP;17
syndicaliste;SUJ:NP;1
pléthorique;SUJ:NP;2
compensatoire;SUJ:NP;3
divers;SUJ:NP;18
vainqueur;SUJ:NP;1
militant;SUJ:NP;4
marketing;SUJ:NP;1
trimestriel;SUJ:NP;8
irremplaçable;SUJ:NP;1
rouge;SUJ:NP;2
éloquent;SUJ:NP;2
fin;SUJ:NP;3
hypersensible;SUJ:NP;1
réconfortant;SUJ:NP;2
architectural;SUJ:NP;1
immobilier;SUJ:NP;34
longue duré;SUJ:NP;2
pernicieux;SUJ:NP;1
sacro-saintes;SUJ:NP;1
habituel;SUJ:NP;11
habituel;SUJ:NP,P-OBJ:PP[en];1
chancelant;SUJ:NP;1
assis;SUJ:NP;1
piètre;SUJ:NP;1
clairsemé;SUJ:NP;1
créole;SUJ:NP;1
rural;SUJ:NP;15
totalitaire;SUJ:NP;1
limitatif;SUJ:NP;1
fiscal;SUJ:NP;26
évasif;SUJ:NP;1
incompréhensible;SUJ:NP;1
multiple;SUJ:NP;18
sous-jacent;SUJ:NP,P-OBJ:PP[à];1
consécutif;SUJ:NP;15
consécutif;SUJ:NP,P-OBJ:PP[à];5
habillé;SUJ:NP;2
radical;SUJ:NP;4
universel;SUJ:NP;2
second;SUJ:NP;1
terrible;SUJ:NP;4
normand;SUJ:NP;2
bon marché;SUJ:NP;4
apparenté;SUJ:NP;1
bancaire;SUJ:NP;36
poussé;SUJ:NP;1
insignifiant;SUJ:NP;2
tardif;SUJ:NP;4
estival;SUJ:NP;1
déflationniste;SUJ:NP;1
assuré;SUJ:NP;2
ancestral;SUJ:NP;1
absolu;SUJ:NP;8
méfiant;SUJ:NP,P-OBJ:PP[par];1
nord-américain;SUJ:NP;3
sec;SUJ:NP;2
machinal;SUJ:NP;1
comptable;SUJ:NP;3
indicatif;SUJ:NP;3
fluctuant;SUJ:NP;1
handicapé;SUJ:NP;1
plan;SUJ:NP;1
rugissant;SUJ:NP;1
malencontreux;SUJ:NP;1
dominant;SUJ:NP;3
indiscutable;SUJ:NP;1
écoulé;SUJ:NP;5
facile;SUJ:NP,P-OBJ:VPinf[à];2
facile;SUJ:VPinf[de];1
facile;SUJ:NP,P-OBJ:PP[de];2
facile;SUJ:NP;7
facile;SUJ:NP,P-OBJ:PP[loc];1
facile;SUJ:VPinf[de],P-OBJ:PP[à];1
verrier;SUJ:NP;2
hertzien;SUJ:NP;1
proportionnel;SUJ:NP,P-OBJ:PP[à];1
brillant;SUJ:NP;5
lugubre;SUJ:NP;1
interne;SUJ:NP;17
interne;SUJ:NP,P-OBJ:PP[à];3
plat;SUJ:NP;1
invraisemblable;SUJ:NP;1
soucieux;SUJ:NP,P-OBJ:VPinf[de];8
soucieux;SUJ:NP;2
soucieux;SUJ:VPinf[de];1
soucieux;SUJ:NP,P-OBJ:PP[de];4
double;SUJ:NP;21
dissident;SUJ:NP;1
calamiteux;SUJ:NP;3
calamiteux;SUJ:NP,P-OBJ:PP[pour];1
semestriel;SUJ:NP;8
marin;SUJ:NP;4
neutre;SUJ:NP;3
sucrier;SUJ:NP;4
motivant;SUJ:NP;1
couchant;SUJ:NP;1
rassurant;SUJ:NP;8
morose;SUJ:NP;7
interactif;SUJ:NP;1
syndiqué;SUJ:NP;1
grossier;SUJ:NP;1
statistique;SUJ:NP;3
saccadé;SUJ:NP;1
dernier;SUJ:NP;458
syndical;SUJ:NP;21
vendu;SUJ:NP;3
bucolique;SUJ:NP;1
corporel;SUJ:NP;1
tout entière;SUJ:NP;1
vieux;SUJ:NP;16
vieux;SUJ:NP,P-OBJ:PP[de];1
angulaire;SUJ:NP;1
cher;SUJ:NP;34
cher;SUJ:NP,P-OBJ:PP[en];1
cher;SUJ:NP,P-OBJ:PP[à];3
cher;SUJ:NP,P-OBJ:PP[sur];1
final;SUJ:NP;10
légal;SUJ:NP;5
cégétiste;SUJ:NP;2
versaillais;SUJ:NP;1
musclé;SUJ:NP;2
chômé;SUJ:NP;2
savoyard;SUJ:NP;1
récessionnistes;SUJ:NP;1
urbain;SUJ:NP;4
stérile;SUJ:NP;1
indéracinable;SUJ:NP;1
superbe;SUJ:NP;1
malade;SUJ:NP;5
malade;SUJ:NP,P-OBJ:PP[de];1
minimal;SUJ:NP;6
polémique;SUJ:NP;2
visitable;SUJ:NP;1
anticipé;SUJ:NP;4
miracle;SUJ:NP;3
net;SUJ:NP;60
phonographique;SUJ:NP;1
vaillant;SUJ:NP;1
décidé;SUJ:NP;1
décidé;SUJ:NP,P-OBJ:PP[en];1
vosgien;SUJ:NP;5
préparatoire;SUJ:NP;1
préparatoire;SUJ:NP,P-OBJ:PP[à];1
pétrochimique;SUJ:NP;2
publicitaire;SUJ:NP;16
incontournable;SUJ:NP;1
mis;SUJ:NP;1
